Family,Genus,Species,ISIfruits,ISIseeds,ISItotal,Latitude,Longitude,notes,source
Asteraceae,Arctotis,fastuosa,,0.96,,-28.127,23.632,outside/average,Ueckerman and van Rooyen 2000
Asteraceae,Argyroxiphium,sandwicense,0.92,,,island,island,,Carr et al. 1986
Asteraceae,Arnica,montana,0.80,0.73,0.95,53.158,5.657,,"Luijten et al. 1996, Luijten et al. 2002"
Asteraceae,Aster,curtus,0.32,,,46.739,-122.344,fruit set percentages are actually pollen tube penetration percentages into the stigmatic region,Giblin and Hamilton 1999
Asteraceae,Aster,furcatus,0.99,,,43.735,-87.824,transplants,Les et al. 1991
Asteraceae,Balsamorhiza,sagitta,,0.73,,41.765,-111.833,,Cane 2005
Asteraceae,Bidens,pilosa,0.00,-0.13,-0.13,10.5,-66.88, var. pilosa,Jaimes and Ramirez 1999
Asteraceae,Brachycome,muellerii,-0.04,0.29,0.26,-34.307,135.725,transplannts,Jusaitis et al. 2003
Asteraceae,Centaurea,jacea,0.99,,,47.35,8.5,OFP and SFP are based on number of acenes per head and assuming that both heads have same number of possible acenes.,Albrecht et al. 2010 PloS One
Asteraceae,Conyza,sumatrensis,,0.37,,32.033,118.833,,Hau et al. 2009
Asteraceae,Crepis,sancta,0.67,,,44.84,3.339,,multiple
Asteraceae,Crepis,tectorum,0.14,,,island,island,Andersson 1989,Lloyd and Schoen 1992
Asteraceae,Dendranthema,grandiflora,,0.42,,cultivar,cultivar,avg. see inds. Tab; cultivars,Anderson et al. 1992
Asteraceae,Dimorphotheca,sinuata,,0.92,,-28.127,23.632,outside/average,Ueckerman and van Rooyen 2000
Asteraceae,Emilia,fosbergii,0.00,0.27,0.27,10.5,-66.88,,Jaimes and Ramirez 1999
Asteraceae,Espeletia,angustifolia,,0.99,,9.2167,-69.789,,Berry and Calvo 1994
Asteraceae,Espeletia,atropurpurea,,0.99,,9.2167,-69.789,,Berry and Calvo 1994
Asteraceae,Espeletia,badilloi,,1.00,,9.2167,-69.789,,Berry and Calvo 1994
Asteraceae,Espeletia,batata,1.00,0.97,1.00,9.2167,-69.789,,multiple
Asteraceae,Espeletia,floccosa,0.92,0.90,0.99,9.2167,-69.789,,multiple
Asteraceae,Espeletia,lindenii,1.00,1.00,1.00,9.2167,-69.789,,multiple
Asteraceae,Espeletia,marcescens,,1.00,,9.2167,-69.789,,Berry and Calvo 1994
Asteraceae,Espeletia,moritziana,0.94,0.91,0.99,9.2167,-69.789,,multiple
Asteraceae,Espeletia,neriifolia,1.00,0.94,1.00,9.2167,-69.789,,multiple
Asteraceae,Espeletia,schultzii,1.00,0.99,1.00,9.2167,-69.789,,multiple
Asteraceae,Espeletia,semiglobulata,0.97,0.92,1.00,9.2167,-69.789,,multiple
Asteraceae,Espeletia,spicata,0.94,0.85,0.99,9.2167,-69.789,,multiple
Asteraceae,Espeletia,timotensis,0.89,0.89,0.99,9.2167,-69.789,,multiple
Asteraceae,Galinsoga,parviflora,0.00,0.51,0.51,10.5,-66.88,,Jaimes and Ramirez 1999
Asteraceae,Grindelia,covasii,0.91,,,-38.167,-65.167,avg. see Inds. Tab,Roitman 1999
Asteraceae,Guizotia,abyssinica,1.00,1.00,1.00,,,Ethiopian cultivar; no true selfs until tricks in later gens.,Geleta and Bryngelsson 2010
Asteraceae,Hymenoxys,acaulis,,0.97,,41.535,-82.729,var. glabra; greenhouse,Demauro 1993
Asteraceae,Hypochaeris,glabra,-0.24,,,35.639,-5.713,,Ortiz et al. 2006
Asteraceae,Hypochaeris,radicata,,0.87,,51.7,9.12,,multiple
Asteraceae,Hypochoeris,maculata,0.63,,,59.412,8.295,,Norderhaug 1995
Asteraceae,Leontodon,autumnalis,,0.83,,52.12,5.603,seed set #s are percentages; greenhouses,Pico and Koubek 2003
Asteraceae,Leptinella,atrata,,0.03,,island,island,Lloyd 1972,Newstrom and Robertson 2005
Asteraceae,Leptinella,minor,,0.22,,island,island,Lloyd 1972,Newstrom and Robertson 2005
Asteraceae,Leptinella,pectinata,,0.60,,island,island,Lloyd 1972,Newstrom and Robertson 2005
Asteraceae,Leucochrysum,albicans,,1.00,,-37.826,142.85,,Costin et al. 2001
Asteraceae,Liatris,ohlingerae,,0.91,,27.183,-81.347,,Evans et al. 2003
Asteraceae,Olearia,adenocarpa,0.64,0.98,0.99,island,island,avg. see inds. Tab; island NZ,Heenan et al. 2005
Asteraceae,Pleurophyllum,criniferum,,-0.09,,island,island,Nicholls 2000,Newstrom and Robertson 2005
Asteraceae,Pleurophyllum,speciosum,,0.84,,island,island,Nicholls 2000,Newstrom and Robertson 2005
Asteraceae,Porophyllum,leiocarpum,0.00,0.00,0.00,10.5,-66.88,,Jaimes and Ramirez 1999
Asteraceae,Pyrrhopappus,carolinianus,-0.15,,,34.055,-96.795,,Barber and Estes 1978
Asteraceae,Pyrrhopappus,geiseri,0.42,,,34.055,-96.795,,Barber and Estes 1978
Asteraceae,Rutidosis,leptorrhynchoides,0.92,,,-32.324,146.426,avg species range; greenhouse,Young et al. 2000
Asteraceae,Scalesia,affinis,0.19,0.54,0.63,island,island,,multiple
Asteraceae,Scalesia,cordata,0.67,,,island,island,,Philipp and Nielsen 2010
Asteraceae,Senecio,inaequidens,0.97,0.90,1.00,-31.15,27.75,native (S. Africa) and invasive (Europe) pops used,multiple
Asteraceae,Senecio,squalidus,0.83,0.98,1.00,53.8695,-2.2225,greenhouse,Abbott and Forbes 1993
Asteraceae,Solidago,shortii,0.94,,,38.42625,-83.99405,avg. of field and geenhouse data; see inds. Tab,Buchele et al. 1992
Asteraceae,Tripteris,hyoseroides,,0.71,,-28.127,23.632,outside/average,Ueckerman and van Rooyen 2000
Asteraceae,Ursina,cakilefolia,,0.81,,-28.127,23.632,outside/average,Ueckerman and van Rooyen 2000
Asteraceae,Zinnia,angustifolia,-0.35,,,cultivar,cultivar,avg. see inds. Tab; commercial cultivar,Samaha and Boyle 1989
Balsaminaceae,Impatiens,capensis,-0.01,,,40.146,-88.229,CH flowers; Schemske 1978,Lloyd and Schoen 1992
Balsaminaceae,Impatiens,pallida,0.02,,,40.146,-88.229,CH flowers; Schemske 1978,Lloyd and Schoen 1992
Berberidaceae,Berberis,buxifolia,1.00,,,-40,-72.3,,Riveros et al. 1996
Berberidaceae,Berberis,darwinii,0.86,,,-40,-72.3,,Riveros et al. 1996
Berberidaceae,Berberis,sp,1.00,1.00,1.00,-33.33,-70.33,,Arroyo and Uslar 1993
Berberidaceae,Dysosma,versipellis,0.98,,,30.4,111.62,,Guan et al. 2010 AJB
Berberidaceae,Podophyllum,peltatum,,0.89,,41.007,-82.0695,seed set #s are percentages,Whisler and Snow 1992
Betulaceae,Corylus,avellana,0.83,,,cultivar,cultivar,avg. see inds. Tab; cultivatars,Mehlenbacher and Smith 1991
Bignoniaceae,Arrabidaea,brachypoda,0.67,,,-22.86666667,-48.43333333,,Yanagizawa and Maimoni-Rodella 2007
Bignoniaceae,Arrabidaea,samydoides,0.07,,,-22.86666667,-48.43333333,liana,Yanagizawa and Maimoni-Rodella 2007
Bignoniaceae,Astianthus,viminalis,0.06,,,19.5,-105.05,,Bullock 1985
Bignoniaceae,Dolichandra,cynanchoides,0.88,,,-30.625,-62.3,,multiple
Bignoniaceae,Eccremocarpus,scaber,0.57,0.76,0.90,-33.33,-70.33,,Arroyo and Uslar 1993
Bignoniaceae,Godmania,aesculifolia,1.00,,,10.53,-85.25,,Bawa 1974
Bignoniaceae,Heterophragma,quadriloculare,1.00,,,19.33,73.5,,Somanathan and Borges 2001
Bignoniaceae,Jacaranda,oxyphylla,0.83,,,-22.875,-48.46,multiple,Guimaraes et al. 2008 and Yanagizawa and Maimoni-Rodella 2007
