Family,Genus,Species,ISIfruits,ISIseeds,ISItotal,Latitude,Longitude,notes,source
Fabaceae,Acacia,terminalis,,0.02,,-38.049,146.309,,Kenrick and Knox 1989
Fabaceae,Acacia,tortilis,0.92,,,15.358,-15.612,avg. see inds. Tab,Tybirk 1993
Fabaceae,Acacia,ulicifolia,,-0.05,,cultivar,cultivar,selfed progeny from cultivar,Kenrick and Knox 1989
Fabaceae,Adesmia,bicolor,0.63,,,-30.619,-54.146,greenhouse,Tedesco et al. 2000
Fabaceae,Adesmia,montana,0.61,-2.11,-0.22,-33.33,-70.33,,Arroyo and Uslar 1993
Fabaceae,Adesmia,mucronata,0.56,-0.15,0.50,-33.33,-70.33,,Arroyo and Uslar 1993
Fabaceae,Adesmia,muricata,0.88,,,-30.562,-53.119,greenhouse,Tedesco et al. 2000
Fabaceae,Adesmia,punctata,0.63,,,-28.511,-50.93,greenhouse,Tedesco et al. 2000
Fabaceae,Adesmia,riograndensis,-0.96,,,-31.096,-53.607,greenhouse,Tedesco et al. 2000
Fabaceae,Adesmia,tristis,0.71,,,-28.1745,-50.6565,greenhouse,Tedesco et al. 2000
Fabaceae,Aeschynomene,pretensis,0.09,0.03,0.12,8.933333333,-67.41666667,,Ramirez and Brito 1990
Fabaceae,Anadenanthera,falcata,-0.13,,,-13,-50,,Saraiva et al. 1996
Fabaceae,Astragalus,linifolius,0.50,,,39.092,-108.563,Karron 1989,Lloyd and Schoen 1992
Fabaceae,Astragalus,lonchocarpus,-0.16,,,37.375,-109.006,Karron 1989,Lloyd and Schoen 1992
Fabaceae,Astragalus,pectinatus,0.80,,,40.706,-104.78,Karron 1989,Lloyd and Schoen 1992
Fabaceae,Bauhinia,championii,0.35,,,island,island,liana/HK island: >all three Lau et al. 2009 Bauhinia values are suspect until further qualified,Lau et al. 2009
Fabaceae,Bauhinia,cheilantha,1.00,,,-7.333333333,-36.3,,Leite and Machado 2010
Fabaceae,Bauhinia,corymbosa,1.00,,,island,island,liana/HK island: >all three Lau et al. 2009 Bauhinia values are suspect until further qualified,Lau et al. 2009
Fabaceae,Bauhinia,glauca,1.00,,,island,island,liana/HK island: >all three Lau et al. 2009 Bauhinia values are suspect until further qualified,Lau et al. 2009
Fabaceae,Bauhinia,ungulata,0.87,,,10.53,-85.25,,multiple
Fabaceae,Butea,monosperma,0.77,,,28.625,77.25,,Tandon et al. 2003
Fabaceae,Caesalpina,gilliesi,0.34,,,26.83,-65.33,,Aizen and Feinsinger 1994
Fabaceae,Caesalpinia,bahamensis,1.00,,,island,island,,Borges et al. 2009
Fabaceae,Caesalpinia,caladenia,0.38,,,19.5,-105.05,,Bullock 1985
Fabaceae,Caesalpinia,calycina,1.00,,,-8.46,-37.42,Lewis and Gibbs 1999,Machado et al. 2006
Fabaceae,Caesalpinia,coriana,0.98,,,19.5,-105.05,,Bullock 1985
Fabaceae,Caesalpinia,crista,1.00,,,unknown,unknown,,Borges et al. 2009
Fabaceae,Caesalpinia,decapetala,0.14,-0.15,0.01,naturalized,naturalized,Naturalized,Rambuda and Johnson 2004
Fabaceae,Caesalpinia,echinata,1.00,,,-8.04,-35.194,,Borges et al. 2009 
Fabaceae,Caesalpinia,eriostachys,1.00,,,10.53,-85.25,,multiple
Fabaceae,Caesalpinia,gilliesii,1.00,,,-31.73,-64.43,,Morales and Galetto 2003
Fabaceae,Caesalpinia,peltophoroides,0.48,,,unknown,unknown,,Borges et al. 2009
Fabaceae,Caesalpinia,pulcherrima,0.00,,,19.5,-105.05,,Bullock 1985
Fabaceae,Caesalpinia,pyramidalis,1.00,,,unknown,unknown,,Borges et al. 2009 and Leite and Machado 2010
Fabaceae,Caesalpinia,sclerocarpa,1.00,,,19.5,-105.05,,Bullock 1985
Fabaceae,Calliandra,laxa,1.00,1.00,1.00,10.5,-66.88333333,,Ruiz-Zapata and Arroyo 1978
Fabaceae,Carmichaelia,williamsii,0.23,,,island,island,Heenan and deLange 1999,Newstrom and Robertson 2005
Fabaceae,Cassia,aphylla,-0.61,,,26.83,-65.33,,Aizen and Feinsinger 1994
Fabaceae,Cassia,fasiculata,0.03,,,40.394,-89.87,,Martin and Lee 1993
Fabaceae,Cercidium,australe,0.97,,,26.83,-65.33,,Aizen and Feinsinger 1994
Fabaceae,Cercidium,praecox,0.33,-0.06,0.30,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Fabaceae,Chamaecrista,cytisoides,0.34,,,-8.46,-37.42,Silva 2004,Machado et al. 2006
Fabaceae,Chamaecrista,desvauxii,0.09,,,-12.99445,-41.344,,Costa et al. 2007
Fabaceae,Chamaecrista,nictitans,0.85,0.88,0.98,10.5,-66.88,var. pilosa,Jaimes and Ramirez 1999
Fabaceae,Chamaecrista,ramosa,0.17,,,-8.46,-37.42,var. mollissima ; Silva 2004,Machado et al. 2006
Fabaceae,Crotolaria,incana,0.06,-0.05,0.01,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Fabaceae,Crotolaria,sp,-0.10,0.18,0.10,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Fabaceae,Cytisus,multiflorus,1.00,,,,,P/O ratio is average of two morphs,Rodriguez-Riano et al. 2004
Fabaceae,Cytisus,striatus,0.92,0.97,1.00,39.27,-7.003,avg. see inds. Tab,Rodriguez-Riano et al. 1999
Fabaceae,Dalbergia,miscolobium,0.86,,,-22.232,-47.823,avg. see inds. Tab,Gibbs and Sassaki 1998
Fabaceae,Dalbergia,retusa,1.00,,,10.53,-85.25,,Bawa 1974
Fabaceae,Dalea,carthagenensis,0.08,0.08,0.16,10.5,-66.88,,Jaimes and Ramirez 1999
Fabaceae,Daviesia,mimosoides,,0.91,,-36.04,149.172,"seed set #s are percentages; cross seed set is actually from open pollinations; data are avgs, see inds tab; avg species range",Young and Brown 1998
Fabaceae,Daviesia,suaveolens,,0.97,,-35.693,149.81,"seed set #s are percentages; cross seed set is actually from open pollinations; data are avgs, see inds tab; avg species range",Young and Brown 1998
Fabaceae,Derris,ovalifolia,0.41,,,12.06,79.88,,Nayak and Davidar 2010
Fabaceae,Desmodium,barbatum,0.07,0.21,0.26,8.933333333,-67.41666667,,Ramirez and Brito 1990
Fabaceae,Desmodium,canum,0.00,-0.17,-0.17,10.5,-66.88,,Jaimes and Ramirez 1999
Fabaceae,Dillwynia,tenuifolia,0.38,,,-33.408,151.223,,Rymer et al. 2002
Fabaceae,Dipteryx,panamensis,1.00,,,10.433,-84,,Bawa et al. 1985a
Fabaceae,Enterolobium,cyclocarpum,1.00,,,10.53,-85.25,t estimate from Rocha and Aguilar 2001,Bawa 1974
Fabaceae,Erithrina,mitis,0.85,0.67,0.95,10.5,-66.88,,Jaimes and Ramirez 1999
Fabaceae,Erythrina,chiapasana,-0.86,,,16.848,-93.11,,Neill 1988
Fabaceae,Erythrina,falcata,0.83,,,-24.706,-65.336,,Etcheveryy and Trucco Aleman 2005
Fabaceae,Erythrina,fusca,0.00,,,cultivar,cultivar,,Neill 1988
Fabaceae,Erythrina,goldmanii,0.69,,,cultivar,cultivar,,Neill 1988
Fabaceae,Erythrina,gutemalensis,0.64,,,cultivar,cultivar,,Neill 1988
Fabaceae,Faidherbia,albida,0.73,,,10,35,no range in tropicos; Israel-S.Africa range-wiki,Gassama-Dia et al. 2003
Fabaceae,Gliricidia,sepium,1.00,,,-8.46,-37.42,Kiill and Drummond 2001,Machado et al. 2006
Fabaceae,Hymenaea,courbaril,1.00,,,10.53,-85.25,,Bawa 1974
Fabaceae,Hymenaea,stigonocarpa,0.92,,,-15.86666667,-47.85,,Oliveira et al. 2004
Fabaceae,Inga,brenesii,0.97,,,-10.33,-84.767,,Koptur 1984
Fabaceae,Inga,densiflora,0.96,,,-10.33,-84.767,,Koptur 1984
Fabaceae,Inga,mortoniana,0.94,,,-10.33,-84.767,,Koptur 1984
Fabaceae,Inga,oerstediana,0.83,,,-10.33,-84.767,,Koptur 1984
Fabaceae,Inga,punctata,0.90,,,-10.33,-84.767,,Koptur 1984
Fabaceae,Lonchocarpus,costaricensis,1.00,,,10.53,-85.25,,Bawa 1974
Fabaceae,Lonchocarpus,eriocarinalis,0.90,,,10.53,-85.25,,multiple
Fabaceae,Lonchocarpus,guatemalensis,0.58,,,19.5,-105.05,,Bullock 1985
Fabaceae,Lonchocarpus,lanceolatum,0.55,,,19.5,-105.05,,Bullock 1985
Fabaceae,Lonchocarpus,sp,0.91,,,10.433,-84,,Bawa et al. 1985a
Fabaceae,Lonchocarpus,sp_Nov,0.79,,,19.5,-105.05,,Bullock 1985
Fabaceae,Lotus,corniculatus,0.70,0.93,0.98,40,-96,N. America species range,"Stephenson and Winsor 1983, Silvertown et al. 2002"
Fabaceae,Lupinus,arboreus,0.38,0.49,0.69,38.613,-122.997,% agam reported as <.01,Kittleson and Maron 2000
Fabaceae,Lysiloma,microphylla,1.00,,,19.5,-105.05,,Bullock 1985
Fabaceae,Medicago,sativa,0.19,0.08,0.25,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Fabaceae,Mimosa,albida,0.13,0.43,0.51,10.5,-66.88,,Jaimes and Ramirez 1999
Fabaceae,Mimosa,camporum,0.31,0.53,0.67,8.933333333,-67.41666667,,Ramirez and Brito 1990
Fabaceae,Mimosa,detinens,0.44,,,26.83,-65.33,,Aizen and Feinsinger 1994
Fabaceae,Ononis,masquillierii,0.88,,,44.48333333,20.33333333,,Vivarelli et al. 2011
Fabaceae,Parkinsonia,aculeata,-0.29,,,-7.333333333,-36.3,,Leite and Machado 2010
Fabaceae,Pentaclethra,macroloba,1.00,,,10.433,-84,,Bawa et al. 1985a
Fabaceae,Piptadenia,obliqua,1.00,,,19.5,-105.05,,Bullock 1985
Fabaceae,Piscidia,carthagenesis,1.00,,,10.53,-85.25,,Bawa 1974
Fabaceae,Pithecellobium,gigantifolium,1.00,,,10.433,-84,,Bawa et al. 1985a
Fabaceae,Pithecolobium,saman,1.00,,,10.53,-85.25,,Bawa 1974
Fabaceae,Poeppigia,procera,0.93,,,19.5,-105.05,,Bullock 1985
Fabaceae,Prosopis,alba,1.00,,,-31.73,-64.43,,Morales and Galetto 2003
Fabaceae,Prosopis,nigra,1.00,,,26.83,-65.33,,Aizen and Feinsinger 1994
Fabaceae,Pterocarpus,rohrii,0.98,,,10.53,-85.25,,Bawa 1974
Fabaceae,Pterocarpus,santalinus,0.71,,,14.5,78.9,,Rao and Raju 2002
Fabaceae,Pterodon,emarginatus,-2.00,,,-15.86666667,-47.85,Alfonso 1997,Oliveira and Gibbs 2000
Fabaceae,Retama,sphaerocarpa,0.81,0.79,0.96,38.879,-6.97,avg. see inds. Tab,Rodriguez-Riano et al. 1999
Fabaceae,Rhynchosia,edulis,-0.90,,,-31.73,-64.43,,Morales and Galetto 2003
Fabaceae,Rhynchosia,minima,0.09,0.08,0.16,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Fabaceae,Sclerolobium,paniculatum,0.96,,,-15.86666667,-47.85,Barros 1998,Oliveira and Gibbs 2000
Fabaceae,Senna,didymobotrya,0.12,0.26,0.35,naturalized,naturalized,Naturalized,Rambuda and Johnson 2004
Fabaceae,Senna,martiana,1.00,,,-7.333333333,-36.3,,Leite and Machado 2010
Fabaceae,Senna,occidentalis,0.21,0.08,0.27,11.71,-69.78,extra-hard life hist assignment,Lemus-Jimenez and Ramirez 2005
Fabaceae,Senna,spectabilis,1.00,,,-7.333333333,-36.3,,Leite and Machado 2010
Fabaceae,Sesbania,goetzei,-2.86,,,9.015,39.397,,Heering 1994
Fabaceae,Sesbania,punicea,0.00,0.00,0.00,naturalized,naturalized,Naturalized,Rambuda and Johnson 2004
Fabaceae,Sesbania,sesban,-3.40,,,9.015,39.397,,Heering 1994
Fabaceae,Suriana,maritima,0.31,0.31,0.53,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Fabaceae,Swartzia,simplex,1.00,,,10.433,-84,,Bawa et al. 1985a
Fabaceae,Tephrosia,cinerea,0.27,0.21,0.43,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Fabaceae,Trifolium,alexandrinum,,0.44,,38.411,44.824,avg. see Inds. Tab; study pops estimate range,Roy et al. 2005
Fabaceae,Trifolium,polymorphum,0.40,,,-32.231,-56.162,,Real et al. 2007
Fabaceae,Trifolium,pratense,,1.00,,48,13,Tropicos,Leduc et al. 1990
Fabaceae,Trifolium,repens,,0.94,,48,13,Tropicos,Leduc et al. 1990
Fagaceae,Nothofagus,dombeyi,0.00,0.99,0.99,-39.8,-73.233,,Riveros et al. 1995
Fagaceae,Nothofagus,nitida,0.00,0.80,0.80,-39.8,-73.233,,Riveros et al. 1995
Fagaceae,Nothofagus,obliqua,0.00,0.98,0.98,-40,-72.3,,Riveros et al. 1995
Fagaceae,Quercus,ilex,0.69,0.60,0.88,37.994,-8.01,,multiple
Fagaceae,Quercus,suber,0.68,0.68,0.90,39.758,-8.086,avg. species range; greenhouse,Boavida et al. 2001
Gentianaceae,Frasera,caroliniensis,0.34,,,37.979,-84.78,Threadgill et al 1981,Lloyd and Schoen 1992
Gentianaceae,Gentiana,pneumonanthe,0.17,,,52.2,5.208,,multiple
Gentianaceae,Sabatia,kennedyana,0.08,,,47.813,-62.666,,Hill et al. 2006
Gentianaceae,Schultesia,brachyptera,0.00,0.49,0.49,8.933333333,-67.41666667,,Ramirez and Brito 1990
Gentianaceae,Sebaea,grandis,1.00,,,20.26666667,28.4,,Wolfe et al. 2009
Gentianaceae,Villarsia,lasiosperma,,1.00,,-35.003,117.721,,Ordnuff 1992
Geraniaceae,Geranium,berterianum,-0.01,-0.28,-0.29,-33.33,-70.33,,Arroyo and Uslar 1993
Geraniaceae,Geranium,maculatum,0.13,0.27,0.37,34.194,-83.408,greenhouse,Chang 2007
Geraniaceae,Viviana,marifolia,1.00,1.00,1.00,-33.33,-70.33,,Arroyo and Uslar 1993
Gesneriaceae,Asteranthera,ovata,0.82,,,-40,-72.3,,Riveros et al. 1996
Gesneriaceae,Besleria,columneoides,0.06,0.69,0.71,10,-84,Tropicos,Grove 1985
Gesneriaceae,Besleria,robusta,-0.18,,,10,-84,Tropicos,Grove 1985
Gesneriaceae,Columnea,magnifica,-0.14,,,10.3,-84.8,,Bush and Beach 1995
Gesneriaceae,Columnea,microcalyx,0.33,,,10.3,-84.8,,Bush and Beach 1995
Gesneriaceae,Columnea,purpurata,0.38,0.01,0.39,10,-84,epiphytes/lianas; Tropicos,Grove 1985
Gesneriaceae,Drymonia,conchocalyx,-0.15,,,10.3,-84.8,,Bush and Beach 1995
Gesneriaceae,Drymonia,rubra,0.32,,,10.3,-84.8,,Bush and Beach 1995
Gesneriaceae,Mitraria,coccinea,0.48,,,-40,-72.3,,Riveros et al. 1996
Gesneriaceae,Saintpaulia,confusa,0.01,,,-5.15,38.6,,Kolehmainen and Mutikainen 2006
Gesneriaceae,Sinningia,sp,0.58,0.67,0.86,8.933333333,-67.41666667,,Ramirez and Brito 1990
Gesneriaceae,Titanotrichum,oldhamii,0.17,0.46,0.55,island,island,,Wang et al. 2004b
Goodeniaceae,Scaevola,plumieri,1.00,1.00,1.00,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Gunneraceae,Gunnera,tinctoria,-0.56,,,-40,-72.3,,Riveros et al. 1996
Hyacinthaceae,Eucomis,autumnalis,,0.98,,,,,Shuttleworth and Johnson 2009
Hyacinthaceae,Eucomis,comosa,,0.98,,,,,Shuttleworth and Johnson 2009
Hydrangeaceae,Hydrangea,paniculata,0.96,,,,,,Reed 2004
Hydrangeaceae,Hydrangea,quercifolia,1.00,,,,,,Reed 2004
Hypericaceae,Hypericum,cumulicola,0.02,0.11,0.13,27.183,-81.347,,Evans et al. 2003
Hypericaceae,Vismia,baccifera,0.53,0.61,0.82,10,-66,subsp. Ferruginea,Sobrevila and Arroyo 1982
Iridaceae,Crocus,thomasii,,1.00,,41.126,16.869,seed set #s are percentages; transplants,Chichiricco 1993
Iridaceae,Crocus,vernus,0.90,0.99,1.00,42.388,13.4,,multiple
Iridaceae,Dierama,dracomontanum,0.77,,,-29.317,30.283,,Johnson et al. 2009
Iridaceae,Dierama,luteoalbidum,0.86,0.37,0.91,-29.317,30.283,,Johnson et al. 2009
Iridaceae,Gladiolus,longicollis,1.00,1.00,1.00,-29.317,30.283,,Johnson et al. 2009
Iridaceae,Iris,bismarckiana,0.79,,,32.709,35.305,,Segal et al. 2006
Iridaceae,Iris,cristata,-0.04,,,39,-78.9,,Motten 1986
Iridaceae,Iris,haynei,1.00,,,31.709,34.915,,Sapir et al. 2005
Iridaceae,Iris,hermona,1.00,,,31.709,34.915,,Sapir et al. 2005
Iridaceae,Iris,versicolor,0.02,-1.13,-1.08,mixed,mixed,mixed island/mainland studies,multiple
Iridaceae,Sisyrinchium,campestre,1.00,1.00,1.00,42.78888889,-96.68888889,,Montgomery 2009
Iridaceae,Sisyrinchium,philipii,0.70,0.78,0.93,-33.33,-70.33,,Arroyo and Uslar 1993
Iridaceae,Tritonia,disticha,0.68,0.49,0.84,-29.317,30.283,,Johnson et al. 2009
Iridaceae,Watsonia,lepida,0.67,0.38,0.79,-29.317,30.283,,Johnson et al. 2009
Lamiaceae,Dicerandra,frutescens,,0.19,,27.183,-81.347,seed set #s are percentages,Evans et al. 2004
Lamiaceae,Gmelina,arborea,0.48,,,,,,Raju and Rao 2006
Lamiaceae,Hyptis,conferta,0.74,0.74,0.93,8.933333333,-67.41666667,,Ramirez and Brito 1990
Lamiaceae,Hyptis,dilatata,0.06,0.38,0.42,8.933333333,-67.41666667,,Ramirez and Brito 1990
Lamiaceae,Monarda,fistulosa,0.19,,,,,Cayler Prairie Reserve Iowa,Cruden et al. 1984
Lamiaceae,Rosmarinus,officinalis,-0.77,,,41.836,1.538,range estimate,Hidalgo and Ubera 2001
Lamiaceae,Salvia,brandegeei,0.00,0.00,0.00,island,island,,Barrett et al. 2000
Lamiaceae,Salvia,coccinea,0.11,0.33,0.40,10.5,-66.88,,Jaimes and Ramirez 1999
Lamiaceae,Stachys,albicaulis,0.14,0.31,0.41,-33.33,-70.33,,Arroyo and Uslar 1993
Lamiaceae,Tectona,grandis,0.83,,,,,,Tangmitcharoen and Owens 1997
Lardizabalaceae,Akebia,quinata,1.00,,,island,island,Japan,Kawagoe and Suzuki 2005
Lentibulariaceae,Urticaria,praetermissa,-0.24,,,10.3,-84.8,,Bush and Beach 1995
Liliaceae,Blandfordia,grandiflora,0.45,,,-29.725,152.725,,multiple
Liliaceae,Convallaria,keiskei,0.97,0.98,1.00,island,island,Japan,Araki et al. 2005
Liliaceae,Curculigo,latifolia,0.91,,,,,,Okuba et al. 2010
Liliaceae,Dianella,revoluta,0.71,0.75,0.93,-33.634,146.56,,Duncan et al. 2004
Liliaceae,Erythronium,umbilicatum,0.88,,,37,-78.9,,Motten 1986
Liliaceae,Hyancynthoides,non_scripta,0.21,,,51.248,-4.779,average of field and lab measures; UK,Corbet 1998
Liliaceae,Leucocoryne,coquimbensis,,0.92,,-29.967,-71.308,greenhouse,Mansur et al. 2004
Liliaceae,Leucocoryne,ixioides,0.82,0.95,0.99,-33.33,-70.33,,Arroyo and Uslar 1993
Liliaceae,Leucocoryne,purpurea,,0.94,,-30.638,-71.169,greenhouse,Mansur et al. 2004
Liliaceae,Lilium,formosanum,0.00,-0.03,-0.03,naturalized,naturalized,Naturalized,Rambuda and Johnson 2004
Liliaceae,Maianthemum,canadense,0.82,,,mixed,mixed,mixed island/mainland studies,multiple
Liliaceae,Medeola,virginiana,0.50,,,46.55,-66.15,,Barrett and Helenurm 1987
Liliaceae,Smilacina,stellata,-0.06,,,island,island,,Wheelwright et al. 2006
Liliaceae,Smilacina,trifolia,-0.05,,,island,island,,Wheelwright et al. 2006
Liliaceae,Uvularia,sessifolia,0.90,,,43,-78.9,,Motten 1986
Loasaceae,Loasa,acerifolia,0.52,,,-40,-72.3,,Riveros et al. 1996
Loasaceae,Loasa,heterophylla,0.84,0.95,0.99,-33.33,-70.33,,Arroyo and Uslar 1993
Loranthaceae,Alepis,flavida,0.32,,,-43.15,117.717,,Ladley et al. 1997
Loranthaceae,Ligaria,cuneifolia,0.24,,,26.83,-65.33,,Aizen and Feinsinger 1994
Loranthaceae,Peraxilla,colensoi,0.03,,,-41.383,173.03,,Robertson et al. 1999
Loranthaceae,Peraxilla,tetrapetala,0.28,,,-43.15,171.717,,Robertson et al. 1999
Loranthaceae,Tristerix,corymbosus,0.07,,,-41.13,-71.316,,Aizen 2005
Lythraceae,Cuphea,odonnellii,0.45,0.72,0.84,8.933333333,-67.41666667,,Ramirez and Brito 1990
Lythraceae,Decodon,verticillatus,0.05,0.18,0.21,44.933,-78.486,native lat/long,Eckert and Barrett 1994
Lythraceae,Heimia,salicifolia,-1.50,,,-31.73,-64.43,,Morales and Galetto 2003
Lythraceae,Lagerstroemia,indica,0.67,0.14,0.71,cultivar,cultivar,"avg of 2 cultivars, see inds tab; ",Pounders et al. 2006
Lythraceae,Lythrum,salicaria,0.84,0.91,0.99,41.956,-77.161,,multiple
Magnoliaceae,Magnolia,grandiflora,0.31,,,30.388,-92.282,avg. see inds. Tab,Allain et al. 1999
Magnoliaceae,Magnolia,obovata,0.17,,,island,island,Japan,Ishida et al. 2003
Magnoliaceae,Magnolia,stellata,0.31,0.40,0.59,island,island,japan,multiple
Malpighiaceae,Banisteriopsis,adenopoda,-0.47,,,-22.817,-47.117,,Sigrist and Sazima 2004
Malpighiaceae,Banisteriopsis,muricata,0.96,0.77,0.99,10.5,-66.88333333,,multiple
Malpighiaceae,Brysonima,coccolobifolia,0.74,,,-15.86666667,-47.85,Barros 1992; ISI for this entry measured as percentageself pollination/%natural open pollination,Oliveira and Gibbs 2000
Malpighiaceae,Brysonima,crassifolia,0.56,,,10.53,-85.25,,Bawa 1974
Malpighiaceae,Brysonima,verbascifolia,0.78,,,-15.86666667,-47.85,Barros 1992; ISI for this entry measured as percentageself pollination/%natural open pollination,Oliveira and Gibbs 2000
Malpighiaceae,Byrsonima,coccolobifolia,1.00,,,-13,-50,,Saraiva et al. 1996
Malpighiaceae,Byrsonima,gardneriana,1.00,,,-8.46,-37.42,Bezerra 2004,Machado et al. 2006
Malpighiaceae,Byrsonima,intermedia,-0.08,,,-13,-50,,Saraiva et al. 1996
Malpighiaceae,Byrsonima,verbascifolia,0.45,,,-13,-50,,Saraiva et al. 1996
Malpighiaceae,Dicella,bracteosa,1.00,,,-22.817,-47.117,,Sigrist and Sazima 2004
Malpighiaceae,Malpighia,glabra,0.50,,,10.53,-85.25,,Bawa 1974
Malpighiaceae,Mascagnia,anisopetala,0.79,,,-22.817,-47.117,,Sigrist and Sazima 2004
Malpighiaceae,Mascagnia,cordifolia,1.00,,,-22.817,-47.117,,Sigrist and Sazima 2004
Malpighiaceae,Stigmaphyllom,paralias,1.00,,,-8.46,-37.42,Bezerra 2004,Machado et al. 2006
Malpighiaceae,Stigmaphyllon,lalandianum,1.00,,,-22.817,-47.117,,Sigrist and Sazima 2004
Malvaceae,Ayenia,micrantha,0.85,,,19.5,-105.05,,Bullock 1985
Malvaceae,Bastardia,viscosa,0.20,0.13,0.31,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Malvaceae,Corchorus,hirsutus,-0.04,0.11,0.08,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Malvaceae,Cristaria,dissecta,0.11,-1.08,-0.84,-33.33,-70.33,,Arroyo and Uslar 1993
Malvaceae,Dombeya,acutangula,,0.67,,island,island,avg. see inds. Tab,Gigord et al. 1998
Malvaceae,Durio,sp,0.76,,,island,island,avg. of different cultivars; see inds. Tab,Lim and Luders 1998
Malvaceae,Eriotheca,pubescens,-0.50,,,-15.86666667,-47.85,Oliviera et all 1992,Oliveira and Gibbs 2000
Malvaceae,Goesthalsia,meiantha,0.93,,,10.433,-84,,Bawa et al. 1985a
Malvaceae,Grewia,occidentalis,1.00,1.00,1.00,-29.111,26.219,seed set #s are percentages,Zietsman 1991
Malvaceae,Guazuma,roupalaefolia,-0.67,0.41,0.02,10.5,-66.88333333,,Ruiz-Zapata and Arroyo 1978
Malvaceae,Guazuma,tomentosa,1.00,,,10.5,-66.88333333,,multiple
Malvaceae,Guazuma,ulmifolia,1.00,,,19.5,-105.05,,Bullock 1985
Malvaceae,Hibiscus,moscheutos,-0.05,,,38.957,-76.552,,Snow and Spira 1991
Malvaceae,Hibiscus,rosa_sinesis,0.91,,,cultivar,cultivar,cuttings from local  commercial garden,Krabel 1991
Malvaceae,Hibiscus,trionum,,0.00,,-30.2,149.65,greenhouse,Seed et al. 2006
Malvaceae,Luehea,candida,1.00,,,19.5,-105.05,,Bullock 1985
Malvaceae,Luehea,seemannii,0.59,,,10.425,-84.558,,multiple
Malvaceae,Luehea,speciosa,0.96,,,10.53,-85.25,,Bawa 1974
Malvaceae,Malvastrum,americanum,0.16,0.16,0.30,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Malvaceae,Malvastrum,coromandelianum,0.00,-0.05,-0.05,10.5,-66.88,,Jaimes and Ramirez 1999
Malvaceae,Melochia,caracasana,0.92,,,10.5,-66.88333333,,Ramirez and Navarro 2010
Malvaceae,Melochia,crenata,0.33,0.19,0.46,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Malvaceae,Melochia,parvifolia,0.77,,,8.933333333,-67.41666667,,Ramirez and Navarro 2010
Malvaceae,Melochia,tomentosa,1.00,,,-8.46,-37.42,Machado 1990,Machado et al. 2006
Malvaceae,Melochia,villosa,0.72,0.97,0.99,8.933333333,-67.41666667,,Ramirez and Brito 1990
Malvaceae,Ochroma,pyramidale,0.92,,,10.53,-85.25,,multiple
Malvaceae,Pavonia,martii,0.00,,,-8.46,-37.42,Machado 1990,Machado et al. 2006
Malvaceae,Physodium,corymbosum,0.82,,,19.5,-105.05,,Bullock 1985
Malvaceae,Sida,rhombifolia,-3.96,-9.68,-52.03,island,island,,McMullen 1987
Malvaceae,Sida,spinosa,0.04,-0.33,-0.28,10.5,-66.88,,Jaimes and Ramirez 1999
Malvaceae,Theobroma,grandiflorum,1.00,,,-7.188,-50.845,avg species range,"Alves et al. 1997, Silva 1996; in Alves et al. 2003"
Malvaceae,Theobroma,speciosum,1.00,,,,,,Silva de Sousa 2010
Malvaceae,Triumfetta,semitriloba,,0.71,,-20.75,-42.833,avg. see inds. Tab,Collevatti et al. 1997
Malvaceae,Waltheria,rotundifolia,1.00,,,-8.46,-37.42,Machado 1990,Machado et al. 2006
Marantaceae,Calathea,lasiostachya,0.31,0.05,0.34,10,-84,Tropicos,Grove 1985
Marantaceae,Calathea,maranifolia,0.07,-0.04,0.03,10,-84,Tropicos,Grove 1985
Marantaceae,Calathea,sp,0.44,,,10.35,-67.683,,Ramirez and Seres 1994
Marantaceae,Stromanthe,jacquinii,0.23,,,10.35,-67.683,,Ramirez and Seres 1994
Marantaceae,Stromanthe,tonckat,-0.02,,,10.35,-67.683,,Ramirez and Seres 1994
Mayacaceae,Mayaca,sellowiana,0.28,0.34,0.52,8.933333333,-67.41666667,,Ramirez and Brito 1990
Melanthiaceae,Trillium,erectum,0.75,,,43.022,-79.891,,Sage et al. 2001
Melanthiaceae,Trillium,grandiflorum,0.93,,,44.794,-85.238,,multiple
Melanthiaceae,Trillium,recurvatum,0.96,,,,,,Sawyer 2010
Melanthiaceae,Trillium,reliquum,0.18,,,32.378,-84.056,,Heckel and Leege 2007
Melanthiaceae,Trillium,undulatum,-0.11,,,46.55,-66.15,,Barrett and Helenurm 1987
Melastomataceae,Blakea,anomala,0.80,,,,,Monteverde: ecology and conservation of a tropical cloud forest,Lumer 2000
Melastomataceae,Blakea,gracilis,0.47,,,,,Monteverde: ecology and conservation of a tropical cloud forest,Lumer 2000
